Package,Zone,Dist,Mandal,GPName,zonemandalgp,LGDCode,USCNo,Previousreading,CurrentReading,LastDate,CurrentDate,AddlCharges,TotalAmount,NewAmount,ACDAmount,ArrearAmount,EnergyCharge,FixedCharge,CustCharge,Adjustment,other,scno,name,eroarea,unit
Package-B,Warangal,Warangal Rural,Narsampet,GURIJAL,GP,213325,16477821,15,15,15-07-2022,11-08-2022,0,175,309,0,134,,,,,,11907-01814,TELANGANA FIBER GRID CORPORATI,NARSAMPET,0
Package-B,Warangal,Warangal Rural,Damera,LYADALLA,GP,213268,16463562,356,358,16-07-2022,14-08-2022,0,175,175,0,0,,,,,,12410-00856,TELANGANA FIBER GRID CORPORATI,PARKAL,2
Package-B,Warangal,Warangal Rural,Damera,SINGARAJUPALLE,GP,213279,16463564,402,446,16-07-2022,14-08-2022,0,421,421,0,0,,,,,,12402-00451,TELANGANA FIBER GRID CORPORATI,PARKAL,44
Package-B,Warangal,Warangal Rural,Damera,VENKATAPUR,GP,213282,16610587,550,552,16-07-2022,14-08-2022,0,175,175,0,0,,,,,,12411-00412,TELANGANA FIBER GRID CORPORATI,PARKAL,2
Package-B,Warangal,Warangal Rural,Damera,KOGILVAI,GP,213266,16686717,275,955,16-07-2022,14-08-2022,0,7198,7275,0,77,,,,,,12407-00954,TELANGANA FIBER GRID CORPORATI,PARKAL,680
Package-B,Warangal,Warangal Rural,Shyampet,MYLARAM,GP,214164,16415672,310,312,04-07-2022,07-08-2022,0,175,175,0,0,,,,,,10505-01087,TELANGANA FIBER GRID CORPORATI,PARKAL,2
Package-B,Warangal,Warangal Rural,Shyampet,SHAYAMPET,GP,214169,16415726,1343,1367,07-07-2022,06-08-2022,150,430,1327,614,897,,,,,,10501-02668,TELANGANA FIBER GRID CORPORATI,PARKAL,24
Package-B,Warangal,Jangaon,Bachannapeta,KONNE,GP,213293,16442721,1217,1217,25-07-2022,09-08-2022,0,828,1770,0,942,,,,,,13106-01482,TELANGANA FIBER GRID CORPORATI,JANGAON,0
Package-B,Warangal,Jangaon,Bachannapeta,VSR NAGAR,GP,278111,16419568,2222,2354,21-07-2022,19-08-2022,0,1359,2725,360,1366,,,,,,13113-01363,TELANGANA FIBER GRID CORPORATI,JANGAON,132
Package-B,Warangal,Jangaon,Devaruppula,SINGARAJUPALLE,GP,213412,16511087,829,890,14-07-2022,06-08-2022,0,683,1615,0,932,,,,,,14204-00808,TELANGANA FIBER GRID  CORPORAT,JANGAON,61
Package-B,Warangal,Jangaon,Devaruppula,NEERMALA,GP,213407,16589727,398,478,24-07-2022,15-08-2022,0,859,1353,0,494,,,,,,14205-00997,TELANGANA FIBER GRID CORPORATI,JANGAON,80
Package-B,Warangal,Jangaon,Devaruppula,RAMRAJUPALLE,GP,213410,16613966,0,0,16-07-2022,12-08-2022,0,175,175,0,0,,,,,,14206-00683,TELANGANA FIBER GRID  CORPORAT,JANGAON,0
Package-B,Warangal,Jangaon,Palakurthy,CHEEMALABAVI THANDA,GP,278990,16444692,81,90,19-05-2022,07-07-2022,50,350,1917,0,1567,,,,,,14143-00011,TELANGANA FIBER GRID CORPORATI,PALAKURTHY,9
Package-B,Warangal,Jangaon,Palakurthy,VISNOOR,GP,214011,16467431,669,794,09-05-2022,04-07-2022,300,1640,5990,0,4350,,,,,,14111-01425,TELANGANA FIBER GRID CORP TELA,PALAKURTHY,125
Package-B,Warangal,Jangaon,Raghunathpalle,KANCHANAPALLE,GP,214063,16834569,34,34,20-07-2022,06-08-2022,0,175,375,0,200,,,,,,13806-03087,Telengana fibre grid corporati,RAGHUNATHAPALLY,0
Package-B,Warangal,Jangaon,Lingalaghanpur,GUMMADAVELLI,GP,213736,16493299,631,701,18-07-2022,13-08-2022,0,760,1702,0,942,,,,,,13913-00916,TELANGANA FIBER GRID CORP TELA,JANGAON,70
Package-B,Warangal,Jangaon,Lingalaghanpur,NAWABPET,GP,213744,16493292,611,624,05-07-2022,03-08-2022,0,203,988,0,785,,,,,,13909-01033,TELANGANA FIBER GRID CORP TELA,JANGAON,13
Package-B,Warangal,Jayashankar Bhupalapalli,Ghanpur(M),GHANPUR,GP,213524,16433883,0,0,15-07-2022,11-08-2022,0,175,309,0,134,,,,,,10801-03593,TELANAGANA FIBER GRID CORPORAT,BHOOPALPALLY,0
Package-B,Warangal,Jayashankar Bhupalapalli,Ghanpur(M),KONDAPUR,GP,213526,16438190,272,274,15-07-2022,10-08-2022,0,175,310,0,135,,,,,,10803-00613,TELANGANA FIBER GRID CORPORATI,BHOOPALPALLY,2
Package-B,Warangal,Jayashankar Bhupalapalli,Ghanpur(M),Appaiahpally,GP,278213,16438183,71,81,15-07-2022,10-08-2022,0,181,181,0,0,,,,,,10804-00288,TELANGANA FIBER GRID CORPORATI,BHOOPALPALLY,10
Package-B,Warangal,Warangal Urban,Inavole,REDDIPALEM,GP,214237,16472136,1014,1186,13-05-2022,15-07-2022,300,2042,4534,1002,2492,,,,,,13410-00345,TELANGANA FIBER GRID CORPORATI,Rural/HNK,172
Package-B,Warangal,Warangal Urban,Inavole,LINGAMARIGUDEM,GP,278027,16472121,1107,1219,18-05-2022,22-07-2022,300,1528,3843,1284,2315,,,,,,13409-00560,TELANGANA FIBER GRID CORPORATI,Rural/HNK,112
Package-B,Warangal,Warangal Rural,Khanapur,KHANAPUR,GP,213673,16477794,853,859,06-07-2022,06-08-2022,0,175,175,302,0,,,,,,11501-02568,TELANGANA FIBER GRID CORPORATI,NARSAMPET,6
Package-B,Warangal,Warangal Rural,Khanapur,NAZI THANDA,GP,277987,16564146,72,111,15-05-2022,19-07-2022,0,448,448,0,0,,,,,,11519-00015,TELANGANA FIBERGRID CORPORATIO,NARSAMPET,39
Package-B,Warangal,Warangal Rural,Khanapur,VEPACHETTU THANDA,GP,277990,16564127,123,241,15-05-2022,19-07-2022,25,1305,1305,0,0,,,,,,11517-00062,TELANGANA FIBER GRID CORPORATI,NARSAMPET,118
Package-B,Warangal,Warangal Rural,Khanapur,RANGAPUR,GP,213677,16477796,802,910,13-05-2022,21-07-2022,150,1344,1344,693,0,,,,,,11509-00505,TELANGANA FIBER GRID CORPORATI,NARSAMPET,108
Package-B,Warangal,Warangal Rural,Nekkonda,CHANDRUGONDA,GP,213973,16618227,427,500,11-05-2022,18-07-2022,300,999,6145,0,5146,,,,,,12104-01445,TELANGANA FIBERGRIND CORPORATI,NEKKONDA,73
Package-B,Khammam,Mahabubabad,Thorrur,MATEDU,GP,214199,16452698,12,12,03-07-2022,03-08-2022,25,200,338,0,138,,,,,,14517-01481,TELANGANA FIBER GRID NET WORK,THORRUR,0
Package-B,Warangal,Warangal Rural,Nekkonda,MUDIGONDA,GP,213980,16684241,344,504,19-05-2022,19-07-2022,300,1961,5806,744,3845,,,,,,12109-00629,TELANGANA FIBERGRID CORPORATIO,NEKKONDA,160
Package-B,Warangal,Warangal Rural,Nekkonda,PANIKERA,GP,213983,16618222,383,395,12-05-2022,18-07-2022,300,615,5694,126,5079,,,,,,12116-00502,TELANGANA FIBER GRID CORPORATI,NEKKONDA,12
Package-B,Warangal,Warangal Rural,Nekkonda,TEKULA KUNTA THANDA,GP,279090,16684231,638,852,19-06-2022,13-08-2022,300,2530,2530,0,0,,,,,,11919-00192,TS FIBER GRID CORPORATION LTD ,NEKKONDA,214
Package-B,Warangal,Warangal Rural,Nekkonda,CHINNAKORAPOLU,GP,213974,16746584,178,306,19-05-2022,23-07-2022,300,1696,4001,0,2305,,,,,,12105-00499,TELANGANA FIBERGRID CORPORATIO,NEKKONDA,128
Package-B,Warangal,Warangal Rural,Nekkonda,PEDDAKORPOLU,GP,213985,16799000,278,455,20-07-2022,17-08-2022,0,1812,2747,0,935,,,,,,12115-01294,TELANGANA FIBER GRID CORPORATI,NEKKONDA,177
Package-B,Warangal,Warangal Rural,Nekkonda,GUNDREPALLI,GP,213978,16746591,531,715,13-05-2022,20-07-2022,300,2176,7794,1206,5618,,,,,,12107-00669,TS FIBER GRID CORPORATION LTD ,NEKKONDA,184
Package-B,Warangal,Warangal Rural,Nekkonda,BOLLIKONDA,GP,213972,16798993,4,9,19-05-2022,23-07-2022,50,386,1106,0,720,,,,,,12103-00471,TELANGANA FIBER GRID CORPORATI,NEKKONDA,5
Package-B,Warangal,Warangal Rural,Nekkonda,GOLLABHAMA THANDA,GP,278060,16746545,733,813,07-07-2022,09-08-2022,150,996,3199,1206,2203,,,,,,11930-00002,T FIBER GRID CORPORATION LTD T,NEKKONDA,80
Package-B,Warangal,Warangal Rural,Nekkonda,SURYAPET THANDA,GP,278061,16746548,649,685,08-07-2022,09-08-2022,150,515,1271,0,756,,,,,,11937-00005,T FIBER GRID CORPORATION LTD T,NEKKONDA,36
Package-B,Warangal,Jangaon,Chilpur,MALKAPUR,GP,213541,16655212,588,601,23-07-2022,23-08-2022,0,202,202,0,0,,,,,,12752-02397,TELANGANA FIBER GRID  CORPORAT,GHANPUR,13
Package-B,Warangal,Jangaon,Chilpur,DESHAITHAND,GP,213532,16615974,0,15,16-05-2022,20-07-2022,50,364,2194,0,1830,,,,,,12764-00460,TELANGANA FIBER GRID CORPORATI,GHANPUR,15
Package-C,KARIMNAGAR,JAGITYAL,KODIMIAL,APPARAOPETA,GP,279862,16462330,430,433,17-07-2022,18-08-2022,0,175,309,336,134,,,,,,22420-02668,TELANGANA FIBER GRID CORPORATI,MALLIAL,3
Package-B,Warangal,Warangal Rural,Nallabelli,RELAKUNTA,GP,213891,16653339,383,587,11-05-2022,20-07-2022,300,2334,4599,0,2265,,,,,,11803-00928,TELANGANA FIBERGRID CORPORATIO,NARSAMPET,204
Package-B,Warangal,Warangal Rural,Nallabelli,ARSHANPALLE,GP,213876,16653341,265,265,10-05-2022,19-07-2022,50,368,1119,0,751,,,,,,11821-00489,TELANGANA FIBERGRID CORPORATIO,NARSAMPET,0
Package-B,Warangal,Warangal Rural,Nallabelli,ARVAIAHPALLY,GP,278042,16495658,576,721,07-05-2022,16-07-2022,300,1811,3794,642,1983,,,,,,11825-00213,TELANGANA FIBER GRID CORPORATI,NARSAMPET,145
Package-B,Warangal,Warangal Rural,Nallabelli,SHANIGARAM,GP,213893,16495657,1104,1282,05-05-2022,18-07-2022,150,1943,1943,1335,0,,,,,,11813-00552,TELANGANA FIBER GRID CORPORATI,NARSAMPET,178
Package-B,Warangal,Warangal Rural,Nallabelli,GUNDLAPAHAD,GP,213878,16551516,574,590,11-05-2022,22-07-2022,50,351,3020,0,2669,,,,,,11815-00548,TELANGANA FIBER GRID CORPORATI,NARSAMPET,16
Package-B,Warangal,Jangaon,Ghanpur(Stn),PAMNOOR,GP,213546,16617171,711,875,18-05-2022,18-07-2022,185.65,1874,9521,1668,7647,,,,,,12702-01205,TELANGANA FIBER GRID CORPORATI,GHANPUR,164
Package-B,Warangal,Mulugu,Mulugu,MULUG,GP,213871,16720360,529,699,29-07-2022,27-08-2022,0,1737,2078,0,341,,,,,,10701-06980,TELANGANA FIBERGRID CORPORATIO,MULUGU,170
Package-B,Warangal,Jangaon,Narmetta,IPPALAGADDA,GP,279255,16685838,536,627,04-07-2022,14-08-2022,0,939,1027,0,88,,,,,,13223-00217,TELANGANA FIBERGRID CORPORATIO,RAGHUNATHAPALLY,91
Package-B,Warangal,Jangaon,Narmetta,AGAPETA,GP,279260,16713551,406,473,19-07-2022,18-08-2022,0,734,734,0,0,,,,,,13218-01096,TELANGANA FIBERGRID COPRORATIO,RAGHUNATHAPALLY,67
Package-B,Warangal,Jangaon,Narmetta,ISUKABAI THANDA,GP,279251,16713561,561,587,22-07-2022,18-08-2022,0,294,922,0,628,,,,,,13211-01632,TELANAGANA FIBER GRID  CORPORA,RAGHUNATHAPALLY,26
Package-B,Warangal,Jangaon,Narmetta,LOKYA THANDA (THALLA THANDA),GP,279245,16745670,279,279,23-07-2022,18-08-2022,0,175,175,0,0,,,,,,13225-01637,TELANGANA FIBERGRID CORPORATIO,RAGHUNATHAPALLY,0
Package-B,Warangal,Jangaon,Narmetta,MACHUPAHAD,GP,213926,16745675,810,898,18-07-2022,16-08-2022,0,913,1538,798,625,,,,,,13211-01636,TELANGANA FIBERGRID CORPORATIO,RAGHUNATHAPALLY,88
Package-B,Warangal,Jangaon,Narmetta,SURYA BANDA THANDA,GP,279243,16745679,519,519,23-07-2022,18-08-2022,0,175,554,216,379,,,,,,13227-01635,TELANGANA FIBERGRID CORPORATIO,RAGHUNATHAPALLY,0
Package-B,Warangal,Jangaon,Narmetta,HANMANTHAPUR,GP,213924,16638272,652,748,08-07-2022,21-08-2022,0,982,1259,0,277,,,,,,13213-01092,TELANGANA FIBER GRID  CORPORAT,RAGHUNATHAPALLY,96
Package-B,Warangal,Jangaon,Narmetta,GUNTURPALLY,GP,279242,16638689,17,20,05-07-2022,20-08-2022,25,200,320,0,120,,,,,,13221-00297,TELANGANA FIBERGRID CORPORATIO,RAGHUNATHAPALLY,3
Package-B,Warangal,Jangaon,Narmetta,DONGALACHELIME THANDA,GP,279303,16745666,410,536,21-07-2022,21-08-2022,0,1290,1358,336,68,,,,,,13224-00774,TELANGANA FIBERGRID CORPORATIO,RAGHUNATHAPALLY,126
Package-B,Warangal,Jangaon,Narmetta,MANSING THANDA,GP,279257,16745662,548,589,20-07-2022,22-08-2022,0,399,399,284,0,,,,,,13228-01097,TELANGANA FIBERGRID CORPORATIO,RAGHUNATHAPALLY,41
Package-B,Khammam,Mahabubabad,Maripeda,DHARAVATH THANDA,GP,278261,16755799,100,100,08-07-2022,07-08-2022,0,386,677,0,291,,,,,,14335-00005,TELANGANA FIBER GRID CORPORATI,THORRUR,0
Package-B,Khammam,Mahabubabad,Maripeda,PURUSHOTTAMAIGUDEM,GP,213825,16425807,225,230,08-07-2022,07-08-2022,0,175,175,0,0,,,,,,14310-00636,TELANGANA FIBER GRID CORPORATI,THORRUR,5
Package-B,Khammam,Mahabubabad,Kesamudram,RANGAPURAM,GP,213665,16750257,873,1012,25-07-2022,19-08-2022,0,1448,3361,3930,1913,,,,,,15009-00493,TELANGANA FIBER GRID CORPORATI,MAHABUBABAD,139
Package-B,Khammam,Mahabubabad,Kesamudram,SARVAPURAM THANDA,GP,279656,16750262,796,796,26-07-2022,19-08-2022,0,176,176,0,0,,,,,,15028-00008,TELANGANA FIBER GRID CORPORATI,MAHABUBABAD,0
Package-B,Khammam,Mahabubabad,Gudur,MARRIMITTA,GP,279476,16728521,625,703,17-07-2022,21-08-2022,0,1035,1035,130,0,,,,,,11429-00463,TELANGANA FIBER GRID CORPORATI,GUDUR,78
Package-B,Khammam,Mahabubabad,Gudur,MACHARLA,GP,213578,16728516,480,521,25-07-2022,18-08-2022,0,500,1048,148,548,,,,,,11406-01191,TELANGANA FIBER GRID CORPORATI,GUDUR,41
Package-B,Khammam,Mahabubabad,Kuravi,Kuravi,Mandal,5680,16540681,17900,18600,21-07-2022,18-08-2022,0,7806,15854,20850,8048,,,,,,14719-03634,TELANGANA FIBER GRID CORPORATI,KORIVI,700
Package-B,Warangal,Jangaon,Kodakandla,Kodakandla,Mandal,5678,16544904,10057,10776,16-07-2022,13-08-2022,150,8000,19938,14988,11938,,,,,,14001-03495,TELANGANA FIBER GRID CORPORATI,PALAKURTHY,719
Package-B,Warangal,Warangal Rural,Damera,Damera,Mandal,7334,16559191,12148,12946,16-07-2022,14-08-2022,150,9005,24840,11360,15835,,,,,,12412-01914,TELANGANA FIBER GRID CORPORATI,PARKAL,798
Package-B,Warangal,Warangal Rural,Narsampet,Narsampet,Mandal,5691,16424975,12357,12754,21-07-2022,17-08-2022,0,4442,9023,6582,4581,,,,,,11701-16045,TELANGANA FIBER GRID CORPORATI,NARSAMPET,397
Package-B,Warangal,Warangal Rural,Shyampet,Shyampet,Mandal,5701,16415671,15775,16562,16-07-2022,09-08-2022,0,8826,8826,9592,0,,,,,,10501-02669,TELANGANA FIBER GRID CORPORATI,PARKAL,787
Package-B,Warangal,Warangal Rural,Wardhannapet,Wardhannapet,Mandal,5705,16465790,6365,6973,22-07-2022,13-08-2022,0,6889,9753,2296,2864,,,,,,13401-05863,TELANGANA FIBER GRID CORPORATI,WARDHANNAPET,608
Package-B,Warangal,Warangal Rural,Nekkonda,Nekkonda,Mandal,5693,16465025,7552,8062,06-07-2022,13-08-2022,150,5712,9494,3342,3782,,,,,,12112-03609,TELANGANA FIBER GRID CORPORATI,NEKKONDA,510
Package-B,Warangal,Jayashankar Bhupalapalli,Bhupalpalle,Bhupalpalle,Mandal,5659,16569345,11932,12947,24-07-2022,19-08-2022,150,11334,35530,7576,24196,,,,,,10301-11289,TELANGANA FIBER GRID CORPORATI,BHOOPALPALLY,1015
Package-B,Warangal,Jayashankar Bhupalapalli,Ghanpur(M),Ghanpur(M),Mandal,5669,16438192,8842,9769,15-07-2022,10-08-2022,150,10280,21107,6300,10827,,,,,,10801-03595,TELANAGANA FIBER GRID CORPORAT,BHOOPALPALLY,927
Package-B,Warangal,Mulugu,Mulugu,Mulugu,Mandal,5687,16644962,7109,7850,18-07-2022,11-08-2022,341.65,8504,46151,9790,37647,,,,,,10701-06956,TELANGANA FIBER GRID CORPORATI,MULUGU,741
Package-B,Warangal,Warangal Rural,Khanapur,Khanapur,Mandal,5677,16477799,9979,10778,07-07-2022,06-08-2022,150,8998,11294,3196,2296,,,,,,11501-02569,TELANGANA FIBER GRID CORPORATI,NARSAMPET,799
Package-B,Warangal,Warangal Urban,Khazipet,Khazipet,Mandal,6247,16643637,8846,9606,14-07-2022,18-08-2022,282.76,8403,44086,6320,35683,,,,,,12204-153357,TELANGANA FIBER GRID  CORPORAT,KAZIPET,760
Package-B,Warangal,Warangal Urban,Khillawarangal,Khillawarangal,Mandal,6246,16555137,6025,6025,26-06-2022,20-08-2022,0,6207,7234,7618,1027,,,,,,15175-150068,TELANGANA FIBER GRID CORPORATI,AJMILLS/WARANGAL,0
Package-C,NIZAMABAD,NIRMAL,SOAN,Sangampet,GP,281565,16426658,265,318,20-07-2022,14-08-2022,0,614,1951,0,1337,,,,,,62217-00281,TELANGANA FIBER GRID CORPORATI,TOWN/NIRMAL,53
Package-C,NIZAMABAD,NIRMAL,LAXMICHANDA,THIRPELLY,GP,281435,16426889,1331,1331,24-07-2022,16-08-2022,0,177,177,540,0,,,,,,62215-00462,TELANGANA FIBER GRID CORPORATI,TOWN/NIRMAL,0
Package-C,NIZAMABAD,NIRMAL,LAXMICHANDA,WADDYAL,GP,195438,16426906,802,860,26-07-2022,11-08-2022,0,665,665,438,0,,,,,,62201-01396,TELANGANA FIBER GRID CORPORATI,TOWN/NIRMAL,58
Package-C,NIZAMABAD,NIRMAL,LAXMICHANDA,NEW KANJARA,GP,281436,16426909,616,688,17-07-2022,17-08-2022,0,776,776,232,0,,,,,,62225-00228,TELANGANA FIBER GRID CORPORATI,TOWN/NIRMAL,72
Package-C,KARIMNAGAR,PEDDAPALLI,MUTHARAM,KESHANPALLI,GP,201722,16492131,1048,1049,27-07-2022,11-08-2022,150,326,11988,1335,11662,,,,,,25210-01106,TELANGANA FIBER GRID CORPORATI,MANTHANI,1
Package-C,KARIMNAGAR,JAGITYAL,KODIMIAL,KONDAPUR,GP,279855,16440348,1019,1109,18-07-2022,17-08-2022,150,1081,2745,422,1664,,,,,,22405-00812,TELANGANA FIBER GRID CORPORATI,MALLIAL,90
Package-C,KARIMNAGAR,JAGITYAL,KODIMIAL,RAMSAGAR,GP,201470,16440350,1201,1342,07-07-2022,05-08-2022,0,1448,1448,982,0,,,,,,22411-01839,TELANGANA FIBER GRID CORPORATI,MALLIAL,141
Package-C,KARIMNAGAR,JAGITYAL,GOLLAPALLE,CHILVAKODUR,GP,201199,16440370,1435,1499,16-07-2022,09-08-2022,150,858,1727,1042,869,,,,,,22605-01491,TELANGANA FIBER GRID CORPORATI,MALLIAL,64
Package-C,KARIMNAGAR,KARIMNAGAR,THIMMAPUR,THIMMAPUR,GP,202021,16448602,1021,1105,07-07-2022,07-08-2022,150,1030,1972,1082,942,,,,,,20313-02872,TELANGANA FIBER GRID CORPORATI,ALUGUNUR,84
Package-C,KARIMNAGAR,KARIMNAGAR,THIMMAPUR,RAMAKRISHNA COLONY,GP,202020,16449861,1170,1225,05-07-2022,06-08-2022,150,782,3738,232,2956,,,,,,20323-03891,TELANGANA FIBER GRID CORPORATI,ALUGUNUR,55
Package-C,KARIMNAGAR,JAGITYAL,KODIMIAL,PUDUR,GP,201468,16450296,653,681,05-07-2022,07-08-2022,0,308,710,148,402,,,,,,22410-02743,TELANGANA FIBER GRID CORPORATI,MALLIAL,28
Package-C,KARIMNAGAR,JAGITYAL,KODIMIAL,NACHUPALLY,GP,201464,16450303,1326,1404,06-07-2022,11-08-2022,0,828,1445,922,617,,,,,,22407-02165,TELANGANA FIBER GRID CORPORATI,MALLIAL,78
Package-C,KARIMNAGAR,PEDDAPALLI,MUTHARAM,IPPALAPALLI,GP,201721,16496378,4,4,26-07-2022,06-08-2022,25,200,3418,0,3218,,,,,,25222-00397,TELANGANA FIBER GRID CORPORATI,MANTHANI,0
Package-C,KARIMNAGAR,JAGITYAL,KODIMIAL,GOURAPUR,GP,201461,16462331,587,625,19-07-2022,14-08-2022,0,379,651,352,272,,,,,,22402-00517,TELANGANA FIBER GRID CORPORATI,MALLIAL,38
Package-C,KARIMNAGAR,JAGITYAL,BEERPUR,KANDENAKUNTA,GP,279839,16464331,1080,1083,27-07-2022,26-08-2022,0,176,735,644,559,,,,,,22234-02002,TELANGANA FIBER GRID CORPORATI,RURAL/JAGITYAL,3
Package-C,KARIMNAGAR,JAGITYAL,BEERPUR,NARSIMLAPALLE,GP,201901,16464332,1494,1542,28-07-2022,25-08-2022,0,449,1010,1062,561,,,,,,22211-01229,TELANGANA FIBER GRID CORPORATI,RURAL/JAGITYAL,48
Package-C,KARIMNAGAR,JAGITYAL,BEERPUR,THALLADHARMARAM,GP,201909,16464334,586,634,24-07-2022,10-08-2022,0,571,1222,0,651,,,,,,22219-00492,TELANGANA FIBER GRID CORPORATI,RURAL/JAGITYAL,48
Package-C,KARIMNAGAR,PEDDAPALLI,DHARMARAM,GOPALRAOPET,GP,201088,16466515,20,22,20-07-2022,15-08-2022,0,175,309,0,134,,,,,,49022-02925,TELANGANA FIBER GRID CORPORATI,DHARMARAM,2
Package-C,KARIMNAGAR,PEDDAPALLI,DHARMARAM,SAYAMPET,GP,201102,16466516,0,26,22-07-2022,17-08-2022,0,294,428,0,134,,,,,,49009-00589,TELANGANA FIBER GRID CORPORATI,DHARMARAM,26
Package-C,KARIMNAGAR,PEDDAPALLI,DHARMARAM,MYADARAM,GP,201096,16466520,0,0,08-07-2022,12-08-2022,0,175,309,0,134,,,,,,49008-03353,TELANGANA FIBER GRID CORPORATI,DHARMARAM,0
Package-C,KARIMNAGAR,PEDDAPALLI,DHARMARAM,NARASIMHLAPALLI,GP,201097,16466568,11,61,23-07-2022,17-08-2022,0,588,722,0,134,,,,,,49024-01453,TELANGANA FIBER GRID CORPORATI,DHARMARAM,50
Package-C,NIZAMABAD,NIRMAL,KUNTALA,PENCHKALPAHAD,GP,195418,16466755,162,317,10-05-2022,20-07-2022,300,1896,5651,0,3755,,,,,,61810-00497,TELANGANA FIBER GRID CORPORATI,BHAINSA,155
Package-C,KARIMNAGAR,JAGITYAL,GOLLAPALLE,DATHNUR,GP,201200,16472709,1,1,21-07-2022,10-08-2022,0,175,309,0,134,,,,,,22606-00475,TELANGANA FIBER GRID CORPORATI,MALLIAL,0
Package-C,KARIMNAGAR,PEDDAPALLI,ANTARGOAN,ESAMPET,GP,278776,16480512,535,537,25-07-2022,17-08-2022,25,200,4705,642,4505,,,,,,50335-00362,TELANGANA FIBER GRID CORPORATI,RAMAGUNDAM,2
Package-C,ADILABAD,ADILABAD,NARNOOR,BHIMPUR,GP,195531,16496790,530,533,22-05-2022,09-07-2022,25,325,325,1335,0,,,,,,61341-00429,FIBER GRID CORPORATION TELANGA,UTNOOR,3
Package-C,KARIMNAGAR,PEDDAPALLI,MUTHARAM,PARPALLY,GP,201730,16492128,795,840,18-07-2022,06-08-2022,25,570,1150,975,580,,,,,,25212-00562,TELANGANA FIBER GRID CORPORATI,MANTHANI,45
Package-C,KARIMNAGAR,JAGITYAL,KODIMIAL,GANGARAM THANDA,GP,279847,16520623,358,441,16-07-2022,13-08-2022,25,896,5227,0,4331,,,,,,22425-00159,TELANGANA FIBER GIRD CORPORATI,MALLIAL,83
Package-C,KARIMNAGAR,PEDDAPALLI,MUTHARAM,SEETHAMPET,GP,201731,16494230,1162,1162,28-07-2022,09-08-2022,25,200,3399,1206,3199,,,,,,25218-00522,TELANGANA FIBER GRID CORPORATI,MANTHANI,0
Package-C,KARIMNAGAR,PEDDAPALLI,MUTHARAM,MACHUPET,GP,201726,16494234,1,1,27-07-2022,15-08-2022,25,200,3428,0,3228,,,,,,25204-00919,TELANGANA FIBER GRID CORPORATI,MANTHANI,0
Package-C,ADILABAD,ASIFABAD,KERAMERI,Anarpalli,GP,281879,16494539,669,702,17-07-2022,13-08-2022,0,343,343,0,0,,,,,,61103-00188,FIBER GRID CORPORATION TELANGA,ASIFABAD,33
