Package,Zone,Dist,Mandal,GPName,zonemandalgp,LGDCode,USCNo,SerialNo,BillDate,DueDate,BillAmount,ACDAmount,Amount,act
Package-B,Nalgonda,Nalgonda,Devarakonda,KARNATIPALLY,GP,279625,113260503,4422001387,06-08-2022,20-08-2022,314,112,314,202
Package-B,Nalgonda,Nalgonda,Devarakonda,JARPULA THANDA,GP,279616,113260504,4422001388,06-08-2022,20-08-2022,1034,822,1034,212
Package-B,Nalgonda,Nalgonda,Devarakonda,ACHAMMA KUNTA THANDA,GP,279619,113260614,4422001393,17-08-2022,31-08-2022,3839,1740,3839,2099
Package-B,Nalgonda,Nalgonda,Devarakonda,SURYA THANDA,GP,279599,113410884,4422001399,12-08-2022,26-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Devarakonda,KATTAKOMMU THANDA,GP,279554,113410882,4420901564,14-08-2022,28-08-2022,926,0,926,926
Package-B,Nalgonda,Nalgonda,Devarakonda,GANYA NAYAK THANDA,GP,279603,113467025,4422001404,05-08-2022,19-08-2022,375,0,375,375
Package-B,Nalgonda,Nalgonda,Devarakonda,KAMALAPUR,GP,279630,113674348,4422001535,03-08-2022,17-08-2022,739,0,739,739
Package-B,Nalgonda,Nalgonda,Devarakonda,MUDIGONDA,GP,207428,113674349,4422001536,04-08-2022,18-08-2022,769,0,769,769
Package-B,Nalgonda,Nalgonda,Devarakonda,RATHYA THANDA,GP,279530,113410701,4421500635,07-08-2022,21-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Devarakonda,KAMEPALLY,GP,207423,113359749,4491900575,16-08-2022,30-08-2022,858,0,858,858
Package-B,Nalgonda,Nalgonda,Devarakonda,PATHLAVATH THANDA (T),GP,289474,113304755,4421701120,10-08-2022,24-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Devarakonda,PATHLAVATH THANDA (P),GP,279638,113304756,4421800553,13-08-2022,27-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Devarakonda,PADAMATIPALLY,GP,207430,113304754,4421800552,08-08-2022,22-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Devarakonda,YELLAREDDIBAVI,GP,279634,113304753,4420700281,09-08-2022,23-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Devarakonda,YERRAGUNTAPALLY,GP,279789,113359746,4490800466,09-08-2022,23-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Devarakonda,IDDAMPALLY,GP,207422,113563724,4422800768,12-08-2022,26-08-2022,1165,0,1165,1165
Package-B,Nalgonda,Nalgonda,Devarakonda,GOTTIMUKKALA,GP,207420,113563723,4422300687,03-08-2022,17-08-2022,1165,0,1165,1165
Package-B,Nalgonda,Suryapet,Huzur Nagar,VEPALASINGARAM,GP,207517,113036435,4291402413,05-08-2022,19-08-2022,2862,1620,2862,1242
Package-B,Nalgonda,Suryapet,Huzur Nagar,LAKKAVARAM,GP,207514,113190932,4290901503,15-08-2022,29-08-2022,842,632,842,210
Package-B,Nalgonda,Suryapet,Huzur Nagar,SRINIVASPURAM,GP,207516,113190935,4291301088,08-08-2022,22-08-2022,2690,1860,2690,830
Package-B,Nalgonda,Suryapet,Huzur Nagar,LINGAGIRI,GP,207515,113190929,4290601463,09-08-2022,23-08-2022,963,752,963,211
Package-B,Nalgonda,Suryapet,Huzur Nagar,KACHAVARIGUDEM,GP,207441,113036471,4332200588,06-08-2022,20-08-2022,424,0,424,424
Package-B,Nalgonda,Suryapet,Huzur Nagar,GOPALAPURAM,GP,207512,113036432,4290700963,03-08-2022,17-08-2022,361,0,361,361
Package-B,Nalgonda,Suryapet,Huzur Nagar,BURUGADDA,GP,207511,113036427,4290402124,06-08-2022,20-08-2022,2970,1600,2970,1370
Package-B,Nalgonda,Suryapet,Huzur Nagar,KARAKAYALAGUDEM,GP,207513,112952162,4290800772,05-08-2022,19-08-2022,1404,530,1404,874
Package-B,Nalgonda,Suryapet,Huzur Nagar,MARRIGUDEM,GP,280952,112993521,4291600416,04-08-2022,18-08-2022,1846,822,1846,1024
Package-B,Nalgonda,Nalgonda,Kattangoor,MUNUKUNTLA,GP,207563,113263244,4191301194,06-08-2022,20-08-2022,989,462,989,527
Package-B,Nalgonda,Nalgonda,Kattangoor,KURUMARTHY,GP,207562,113324234,4191501117,06-08-2022,20-08-2022,1423,650,1423,773
Package-B,Nalgonda,Nalgonda,Kattangoor,GARLABAIGUDEM,GP,207559,113263243,4191201657,08-08-2022,22-08-2022,2468,958,2468,1510
Package-B,Nalgonda,Nalgonda,Kattangoor,CHERVU ANNARAM,GP,207555,113324219,4191201668,04-08-2022,18-08-2022,439,0,439,439
Package-B,Nalgonda,Nalgonda,Kattangoor,AITIPAMULA,GP,207553,112984153,4191603028,07-08-2022,21-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Kattangoor,RAMACHADRAPURAM,GP,280659,112984158,4192100262,14-08-2022,28-08-2022,0,0,,0
Package-B,Nalgonda,Nalgonda,Kattangoor,MALLARAM,GP,280655,113324212,4190600365,04-08-2022,18-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Kattangoor,BOLLEPALLY,GP,207554,113324205,4190301235,13-08-2022,27-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Kattangoor,KATTANGUR,GP,207561,112984136,4190103613,05-08-2022,19-08-2022,3090,1580,3090,1510
Package-B,Nalgonda,Nalgonda,Kattangoor,MUTHYALAMMAGUDEM,GP,207564,113007900,4192300511,05-08-2022,19-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Kattangoor,DUGNEVALLY,GP,207556,113782194,4190501064,08-08-2022,22-08-2022,271,0,271,271
Package-B,Nalgonda,Nalgonda,Kattangoor,BASKARLABAI,GP,280665,113007882,4191000745,10-08-2022,24-08-2022,227,0,227,227
Package-B,Nalgonda,Nalgonda,Kattangoor,PITTAMPALLY,GP,207569,113007881,4191000744,04-08-2022,18-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Kattangoor,ISMAILPALLY,GP,280671,113007878,4190900442,04-08-2022,18-08-2022,2763,0,2763,2763
Package-B,Nalgonda,Nalgonda,Kattangoor,ERSANIGUDEM,GP,207558,113324207,4190400631,10-08-2022,24-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Kattangoor,PARADA,GP,207568,113324248,4191701377,06-08-2022,20-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Kattangoor,EDULOOR,GP,207557,113324224,4191401931,03-08-2022,17-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Kattangoor,PANDENAPALLY,GP,207567,113324216,4191100517,12-08-2022,26-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Kethepally,Cheekatigudem,GP,280699,113264165,4141500660,07-08-2022,21-08-2022,0,0,,0
Package-B,Nalgonda,Nalgonda,Kethepally,KOPPOLE,GP,207579,113264156,4140801163,06-08-2022,20-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Kethepally,BHEEMARAM,GP,207571,113264159,4140901383,08-08-2022,22-08-2022,1016,804,1016,212
Package-B,Nalgonda,Nalgonda,Kethepally,AMANGAL,GP,208212,113278083,4342001160,12-08-2022,26-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Kethepally,PAMULAPAHAD,GP,208222,113278081,4341901262,12-08-2022,26-08-2022,827,0,827,827
Package-B,Nalgonda,Nalgonda,Kethepally,KOTHAPET,GP,207581,113264166,4141600808,06-08-2022,20-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Munugode,KOMPALLY,GP,207779,113354711,4071301162,13-08-2022,27-08-2022,2767,1382,2767,1385
Package-B,Nalgonda,Nalgonda,Munugode,KALWAKUNTLA,GP,207777,113354682,4070500461,12-08-2022,26-08-2022,2652,1180,2652,1472
Package-B,Nalgonda,Nalgonda,Munugode,VELMAKANNE,GP,207788,113354738,4071701163,04-08-2022,18-08-2022,4303,1482,4303,2821
Package-B,Nalgonda,Nalgonda,Munugode,CHELMEDA,GP,207770,113354751,4072100639,11-08-2022,25-08-2022,2719,1880,2719,839
Package-B,Nalgonda,Nalgonda,Munugode,KOTHULARAM,GP,207781,113354714,4071400375,04-08-2022,18-08-2022,3289,1900,3289,1389
Package-B,Nalgonda,Nalgonda,Munugode,KISTAPUR,GP,207778,112944716,4071900849,05-08-2022,19-08-2022,884,0,884,884
Package-B,Nalgonda,Nalgonda,Munugode,IPPERTHY,GP,207773,113079130,4070105277,10-08-2022,24-08-2022,1833,632,1833,1201
Package-B,Nalgonda,Nalgonda,Munugode,PELIVELA,GP,207783,113079152,4070701290,03-08-2022,17-08-2022,3434,2976,3434,458
Package-B,Nalgonda,Nalgonda,Munugode,KACHILAPURAM,GP,207775,113079160,4071100325,06-08-2022,20-08-2022,2148,872,2148,1276
Package-B,Nalgonda,Nalgonda,Munugode,Jakkalavarigudem,GP,281016,113079131,4070105278,10-08-2022,24-08-2022,1718,1462,1718,256
Package-B,Nalgonda,Nalgonda,Munugode,Ravigudem,GP,281015,113079129,4070105276,11-08-2022,25-08-2022,1934,1362,1934,572
Package-B,Nalgonda,Nalgonda,Munugode,MUNUGODE,GP,207782,112944573,4070105237,07-08-2022,21-08-2022,3515,906,3515,2609
Package-B,Nalgonda,Nalgonda,Munugode,Yelagala gudem,GP,281013,112944616,4071001394,14-08-2022,28-08-2022,1517,1322,1517,195
Package-B,Nalgonda,Nalgonda,Munugode,CHEEKATIMAMIDI,GP,207769,112944615,4071001393,10-08-2022,24-08-2022,2245,684,2245,1561
Package-B,Nalgonda,Nalgonda,Munugode,CHOLLEDU,GP,207771,112944599,4070800760,06-08-2022,20-08-2022,2002,1800,2002,202
Package-B,Nalgonda,Nalgonda,Munugode,SINGARAM,GP,207786,112944586,4070600652,07-08-2022,21-08-2022,3832,1402,3832,2430
Package-B,Nalgonda,Nalgonda,Munugode,VOOKONDI,GP,207789,112944581,4070401107,07-08-2022,21-08-2022,1558,1362,1558,196
Package-B,Nalgonda,Nalgonda,Munugode,RATHIPALLY,GP,207785,112985944,4070200442,04-08-2022,18-08-2022,2176,1096,2176,1080
Package-B,Nalgonda,Nalgonda,Munugode,PULIPALPULA,GP,207784,112944579,4070301465,07-08-2022,21-08-2022,1928,0,1928,1928
Package-B,Nalgonda,Nalgonda,Munugode,JAMASTANPALLY,GP,207774,113354748,4072000304,12-08-2022,26-08-2022,974,616,974,358
Package-B,Nalgonda,Nalgonda,Munugode,KALWALAPALLI,GP,207776,112944601,4070901108,06-08-2022,20-08-2022,3500,650,3500,2850
Package-B,Nalgonda,Nalgonda,Munugode,GUDAPOOR,GP,207772,113079164,4071500811,05-08-2022,19-08-2022,1515,770,1515,745
Package-B,Nalgonda,Nalgonda,Munugode,KORETKAL,GP,207780,113079166,4071602048,15-08-2022,29-08-2022,2150,906,2150,1244
Package-B,Nalgonda,Nalgonda,Munugode,Dubbakalwa,GP,281018,113079167,4071602049,12-08-2022,26-08-2022,152,0,152,152
Package-B,Nalgonda,Nalgonda,Munugode,SOLIPUR,GP,207787,113079161,4071200260,10-08-2022,24-08-2022,3002,1462,3002,1540
Package-B,Nalgonda,Nalgonda,Munugode,GUNDLORIGUDEM,GP,281017,113079132,4070105279,11-08-2022,25-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Nampally,CHITTEMPAD,GP,207842,113255938,4430100379,13-08-2022,27-08-2022,175,0,175,175
Package-B,Nalgonda,Nalgonda,Nampally,NEVILLAGUDEM,GP,281030,113422649,4432201213,13-08-2022,27-08-2022,1046,0,1046,1046
Package-B,Nalgonda,Nalgonda,Nampally,NERELLAPALLY,GP,207852,113574910,4431300606,06-08-2022,20-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Nampally,NARSIMHULUGUDA,GP,207851,113084858,4432800270,06-08-2022,20-08-2022,592,0,592,592
Package-B,Nalgonda,Nalgonda,Nampally,RAMDAS THANDA,GP,207855,113084861,4433200280,13-08-2022,27-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Nampally,JONTHANDA,GP,281026,113084862,4433200281,15-08-2022,29-08-2022,926,0,926,926
Package-B,Nalgonda,Nalgonda,Nampally,PEDDAPUR,GP,207854,112928431,4432201182,11-08-2022,25-08-2022,2280,1342,2280,938
Package-B,Nalgonda,Nalgonda,Nampally,NAMPALLY,GP,207850,112928414,4430702013,04-08-2022,18-08-2022,2594,1402,2594,1192
Package-B,Nalgonda,Nalgonda,Nampally,MAHAMADAPUR,GP,207846,112928409,4430300612,09-08-2022,23-08-2022,3178,1282,3178,1896
Package-B,Nalgonda,Nalgonda,Nampally,G.MALLEPALLY,GP,207845,112928410,4430400562,09-08-2022,23-08-2022,1560,616,1560,944
Package-B,Nalgonda,Nalgonda,Nampally,MELLAVAI,GP,207848,112928411,4430500602,05-08-2022,19-08-2022,4208,1740,4208,2468
Package-B,Nalgonda,Nalgonda,Nampally,CHALLAVANI KUNTA,GP,281028,113015855,4431701366,03-08-2022,17-08-2022,3216,2098,3216,1118
Package-B,Nalgonda,Nalgonda,Nampally,TIRUMALAGIRI,GP,281019,113084857,4432400375,13-08-2022,27-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Nampally,KETHEPALLY,GP,281022,113084855,4432100348,05-08-2022,19-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Nampally,MALLAPURAJPALLY,GP,207847,113180598,4432700434,06-08-2022,20-08-2022,1432,1214,1432,218
Package-B,Nalgonda,Nalgonda,Nampally,TP GOURARAM,GP,207858,113180589,4431400766,04-08-2022,18-08-2022,3556,958,3556,2598
Package-B,Nalgonda,Nalgonda,Nampally,THUNGAPHAD,GP,281020,113211017,4431400769,06-08-2022,20-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Nampally,VADDEPALLY,GP,234560,113211013,4430600511,10-08-2022,24-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Nampally,S.LINGOTAM,GP,207857,113306052,4431100823,12-08-2022,26-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Nampally,PAKKIRPURAM,GP,281023,112928429,4432000221,05-08-2022,19-08-2022,1997,1164,1997,833
Package-B,Nalgonda,Nalgonda,Nampally,SUNKISHALA,GP,281021,112928419,4431000284,07-08-2022,21-08-2022,2800,632,2800,2168
Package-B,Nalgonda,Nalgonda,Nampally,DEVATHPALLY,GP,207844,113015857,4431800651,07-08-2022,21-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Nampally,REVEELI,GP,207856,112928432,4432300368,10-08-2022,24-08-2022,320,0,320,320
Package-B,Nalgonda,Nalgonda,Nampally,TUMMALAPALLY,GP,207859,112928433,4432500460,10-08-2022,24-08-2022,1643,1180,1643,463
Package-B,Nalgonda,Nalgonda,Nampally,BANDA THIMMAPOOR,GP,207840,112928418,4430900264,07-08-2022,21-08-2022,1313,1096,1313,217
Package-B,Nalgonda,Nalgonda,Nampally,MUSTIPALLY,GP,207849,112928428,4431900679,07-08-2022,21-08-2022,2605,1342,2605,1263
Package-B,Nalgonda,Nalgonda,Nampally,RAJYANAIK THANDA,GP,281024,112928427,4431900678,06-08-2022,20-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Nampally,PANSOOR,GP,207853,113084853,4431701369,06-08-2022,20-08-2022,1338,1146,1338,192
Package-B,Nalgonda,Nalgonda,Shaligouraram,SHALIGOURARAM,GP,208082,112984105,4150201497,06-08-2022,20-08-2022,1584,770,1584,814
Package-B,Nalgonda,Nalgonda,Shaligouraram,Tirumalarayunigudem,GP,280610,112984119,4152300316,05-08-2022,19-08-2022,2418,1482,2418,936
Package-B,Nalgonda,Nalgonda,Shaligouraram,Shalilingotam,GP,281962,112984106,4150500391,09-08-2022,23-08-2022,1948,1112,1948,836
Package-B,Nalgonda,Nalgonda,Shaligouraram,AMBARIPET,GP,208072,112984118,4152000827,06-08-2022,20-08-2022,2396,1482,2396,914
Package-B,Nalgonda,Nalgonda,Shaligouraram,CHITHALOOR,GP,208074,113007979,4150701331,03-08-2022,17-08-2022,1794,804,1794,990
Package-B,Nalgonda,Nalgonda,Shaligouraram,WANGAMARTHY,GP,208088,113143369,4150800781,10-08-2022,24-08-2022,1254,598,1254,656
Package-B,Nalgonda,Nalgonda,Shaligouraram,ITUKULAPAD,GP,208076,113324818,4150900992,06-08-2022,20-08-2022,980,478,980,502
Package-B,Nalgonda,Nalgonda,Shaligouraram,MADHARAM,GP,208077,113324835,4151001205,05-08-2022,19-08-2022,1127,650,1127,477
Package-B,Nalgonda,Nalgonda,Shaligouraram,PERKAKONDARAM,GP,208080,113324901,4151701462,05-08-2022,19-08-2022,1014,512,1014,502
Package-B,Nalgonda,Nalgonda,Shaligouraram,ADLOOR,GP,208070,112984114,4151501274,05-08-2022,19-08-2022,3262,1232,3262,2030
Package-B,Nalgonda,Nalgonda,Shaligouraram,VOOTKUR,GP,208087,112984110,4151101049,03-08-2022,17-08-2022,1536,752,1536,784
Package-B,Nalgonda,Nalgonda,Shaligouraram,Bandemeedagudem,GP,280572,113007985,4151101051,08-08-2022,22-08-2022,852,564,852,288
Package-B,Nalgonda,Nalgonda,Shaligouraram,Ramagiri,GP,281963,112984117,4151900415,12-08-2022,26-08-2022,1497,1302,1497,195
Package-B,Nalgonda,Nalgonda,Shaligouraram,THUDIMUDI,GP,208084,113143366,4150600427,03-08-2022,17-08-2022,2109,582,2109,1527
Package-B,Nalgonda,Nalgonda,Shaligouraram,GURAJALA,GP,208075,113143365,4150400981,05-08-2022,19-08-2022,1139,650,1139,489
Package-B,Nalgonda,Nalgonda,Shaligouraram,NG KOTHAPALLY,GP,208079,113222819,4151200735,03-08-2022,17-08-2022,1430,496,1430,934
Package-B,Nalgonda,Nalgonda,Shaligouraram,MANIMADDE,GP,208078,113222800,4150300668,07-08-2022,21-08-2022,1421,462,1421,959
Package-B,Nalgonda,Nalgonda,Shaligouraram,UPPALANCHA,GP,208085,113222825,4152200487,09-08-2022,23-08-2022,1706,684,1706,1022
Package-B,Nalgonda,Nalgonda,Shaligouraram,RAMANUJAPURAM,GP,208081,113222827,4152600299,08-08-2022,22-08-2022,807,0,807,807
Package-B,Nalgonda,Nalgonda,Shaligouraram,BAIRAVUNIBANDA,GP,208073,113143376,4152100813,06-08-2022,20-08-2022,1560,548,1560,1012
Package-B,Nalgonda,Nalgonda,Shaligouraram,Jalonigudem,GP,280602,113143362,4150201569,11-08-2022,25-08-2022,756,548,756,208
Package-B,Nalgonda,Nalgonda,Shaligouraram,THAKKELLAPAD,GP,208083,112984112,4151300469,03-08-2022,17-08-2022,860,650,860,210
Package-B,Nalgonda,Nalgonda,Shaligouraram,AKARAM,GP,208071,112984113,4151401315,08-08-2022,22-08-2022,2436,1164,2436,1272
Package-B,Nalgonda,Nalgonda,Shaligouraram,VALLALA,GP,208086,112984116,4151801785,07-08-2022,21-08-2022,2295,1026,2295,1269
Package-B,Nalgonda,Nalgonda,Vemulapally,VEMULAPALLY,GP,208229,113278069,4340102537,04-08-2022,18-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Vemulapally,THIMMAREDDY GUDEM,GP,208227,113278080,4341500542,07-08-2022,21-08-2022,1591,1026,1591,565
Package-B,Nalgonda,Nalgonda,Vemulapally,MOLKAPATNAM,GP,208221,113306347,4340401052,09-08-2022,23-08-2022,1363,1146,1363,217
Package-B,Nalgonda,Nalgonda,Vemulapally,MANGAPURAM,GP,280719,113306367,4342101509,14-08-2022,28-08-2022,206,0,206,206
Package-B,Nalgonda,Nalgonda,Vemulapally,SALKUNOOR,GP,208225,113306368,4342101510,05-08-2022,19-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Vemulapally,RAVULAPENTA,GP,208224,113306354,4340701668,07-08-2022,21-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Vemulapally,KAMEPALLI,GP,208219,113306378,4342700434,06-08-2022,20-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Vemulapally,THADKAMALLA,GP,207699,113308257,4321801902,07-08-2022,21-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Vemulapally,SHETTI PALEM,GP,208226,113306348,4340502543,04-08-2022,18-08-2022,1880,906,1880,974
Package-B,Nalgonda,Nalgonda,Vemulapally,BUGGABAVIGUDEM,GP,280732,113306355,4340800796,04-08-2022,18-08-2022,868,444,868,424
Package-B,Nalgonda,Nalgonda,Vemulapally,GOGUVANIGUDEM,GP,207690,113308256,4321300650,15-08-2022,29-08-2022,181,0,181,181
Package-B,Nalgonda,Nalgonda,Vemulapally,ANUPAREDDYGUDEM,GP,208213,113306364,4341300520,09-08-2022,23-08-2022,1584,462,1584,1122
Package-B,Nalgonda,Suryapet,Garidepally,VENKATRAMPURAM,GP,280928,113259290,4333100355,15-08-2022,29-08-2022,200,0,200,200
Package-B,Nalgonda,Suryapet,Garidepally,L.B.NAGAR,GP,207447,113439181,4331500551,08-08-2022,22-08-2022,200,0,200,200
Package-B,Nalgonda,Suryapet,Garidepally,ABBIREDDYGUDEM,GP,207436,113259286,4332000446,05-08-2022,19-08-2022,507,0,507,507
Package-B,Nalgonda,Suryapet,Garidepally,APPANNAPETA,GP,207437,113469256,4331700692,10-08-2022,24-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Chandur,JOGIGUDEM,GP,280746,112944510,4060901163,03-08-2022,17-08-2022,1045,838,1045,207
Package-B,Nalgonda,Nalgonda,Chandur,NERMATTA,GP,207291,112944545,4061700882,07-08-2022,21-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Chandur,SHERIGUDEM,GP,280743,112986108,4061801545,05-08-2022,19-08-2022,1451,702,1451,749
Package-B,Nalgonda,Nalgonda,Chandur,TERATPALLY,GP,207294,113225565,4061801565,07-08-2022,21-08-2022,1397,856,1397,541
Package-B,Nalgonda,Nalgonda,Chandur,GATUPPAL,GP,207286,113225524,4060602386,07-08-2022,21-08-2022,1480,668,1480,812
Package-B,Nalgonda,Nalgonda,Chandur,KAMMAGUDEM,GP,280735,113064882,4060800827,14-08-2022,28-08-2022,11025,0,11025,11025
Package-B,Nalgonda,Nalgonda,Chandur,KONDAPURAM,GP,207290,113064887,4061301050,06-08-2022,20-08-2022,1352,0,1352,1352
Package-B,Nalgonda,Nalgonda,Chandur,PULLEMLA,GP,207292,112944491,4060701266,09-08-2022,23-08-2022,978,0,978,978
Package-B,Nalgonda,Nalgonda,Chandur,BODANGIPARTHY,GP,207283,112944508,4060800822,12-08-2022,26-08-2022,909,872,909,37
Package-B,Nalgonda,Nalgonda,Chandur,THASKANIGUDEM,GP,280748,112944528,4061100455,10-08-2022,24-08-2022,1547,462,1547,1085
Package-B,Nalgonda,Nalgonda,Chandur,SIRDEPALLY,GP,207293,112897067,4060500505,10-08-2022,24-08-2022,770,770,770,0
Package-B,Nalgonda,Nalgonda,Chandur,PADAMATITHALLA,GP,280761,112897079,4061400784,05-08-2022,19-08-2022,1072,1044,1072,28
Package-B,Nalgonda,Nalgonda,Chandur,UDTALAPALLY,GP,207296,112897078,4061400782,14-08-2022,28-08-2022,0,0,,0
Package-B,Nalgonda,Nalgonda,Chandur,KASTALA,GP,207289,112897069,4061001526,05-08-2022,19-08-2022,1651,752,1651,899
Package-B,Nalgonda,Nalgonda,Chandur,CHOPPARIVARIGUDEM,GP,280758,113064883,4061001536,09-08-2022,23-08-2022,1710,632,1710,1078
Package-B,Nalgonda,Nalgonda,Chandur,GUNDREPALLY,GP,207287,112986107,4060401056,09-08-2022,23-08-2022,1142,512,1142,630
Package-B,Nalgonda,Nalgonda,Chandur,CHAMALAPALLY,GP,207841,113084852,4431500634,07-08-2022,21-08-2022,1638,992,1638,646
Package-B,Nalgonda,Nalgonda,Chandur,TUMMALAPALLY,GP,207295,112944530,4061200569,05-08-2022,19-08-2022,1237,0,1237,1237
Package-B,Nalgonda,Nalgonda,Chandur,THIMMAREDDYGUDEM,GP,280765,112986160,4061500300,11-08-2022,25-08-2022,2535,1382,2535,1153
Package-B,Nalgonda,Nalgonda,Chandur,DONIPAMLA,GP,207285,113354590,4060901232,05-08-2022,19-08-2022,2492,512,2492,1980
Package-B,Nalgonda,Nalgonda,Chandur,BANGARIGADDA,GP,207282,112944470,4060201417,03-08-2022,17-08-2022,1640,838,1640,802
Package-B,Nalgonda,Nalgonda,Chandur,GOLLAGUDEM,GP,280757,112944471,4060201418,08-08-2022,22-08-2022,1601,804,1601,797
Package-B,Nalgonda,Nalgonda,Chandur,IDIKUDA,GP,207288,113354566,4060300523,09-08-2022,23-08-2022,1402,890,1402,512
Package-B,Nalgonda,Nalgonda,Kanagal,BUDAMARLAPALLI,GP,280759,112922233,4040300568,04-08-2022,18-08-2022,1813,992,1813,821
